ID,Area,Path,Evidence,Defect Type,Severity,Observed,Expected,R4B Fix,Runtime State,END
R4B-001,Home/Event,Home > Sự kiện > Có Quà Tặng > Thông báo 1,Part1 0s,GENERIC_FALLBACK,HIGH,Notice opens as generic task/input,Notice reader/composer with title body audience state,Route notice intent to event-notice specialized panel,loading/ready/empty/error,Read or Save & Publish
R4B-002,Home/Event,Home > Sự kiện > Tạo Quà Tặng > Chọn mẫu quà,Part1 40s,MISSING_SPECIALIZED_COMPONENT,HIGH,Gift creation branch lacks full gift form,Gift template selector plus gift setup and preview,Gift create specialized runtime panel,ready/empty/error,Create Gift
R4B-003,Home/Event,Home > Sự kiện > Tạo Quà Tặng > Số lượng,Part1 40s,WRONG_INPUT_COMPONENT,HIGH,Generic textarea/input END,Numeric quantity field with validation,Gift create panel handles quantity numerically,ready/error,Create Gift
R4B-004,Home/Event,Home > Sự kiện > Tạo Quà Tặng > Điều kiện nhận,Prior screenshot + Part1,MISSING_SPECIALIZED_COMPONENT,HIGH,Blind generic task panel,Eligibility rule builder/check-in ticket purchase invite conditions,Gift create specialized panel with claim rule,ready/error,Create Gift
R4B-005,Home/Event,Home > Sự kiện > Tạo Quà Tặng > Tạo QR quà,Prior screenshot,MISSING_SPECIALIZED_COMPONENT,HIGH,Generic task slider,QR created only after runtime gift ID and preview,Gift create/QR flow; no blind slider,ready/config/error,Create/Save QR
R4B-006,Home/Event,Home > Sự kiện > Tạo Quà Tặng > Khởi tạo,Prior screenshot,GENERIC_FALLBACK,HIGH,Generic runtime panel,Gift create form with name type quantity rules validation,Gift create specialized panel,ready/error,Create Gift
R4B-007,Home/Event,Home > Sự kiện > Sự kiện của tôi > Tạo thông báo,Prior screenshot + Part1 60s,GENERIC_FALLBACK,CRITICAL,Generic slider/apply END,Notice title body audience preview and publish,Event notice specialized panel,ready/error,Save & Publish Notice
R4B-008,Home/Event,Home > Sự kiện > Sự kiện của tôi > Quản lý quà tặng,Prior screenshot + Part1 60s,GENERIC_FALLBACK,HIGH,Generic slider/apply END,Load true gift inventory manage status search edit,Gift manager specialized panel,loading/ready/empty/error,Save Gift Changes
R4B-009,Home/Event,Home > Sự kiện > Sự kiện của tôi > Confirm/Read,Prior screenshot,AMBIGUOUS_END,MEDIUM,Generic toggle slider,Contextual read/confirm state for selected event,Specialized semantic routing where meaning is known,loading/ready/empty,Confirm/Read
R4B-010,Home/AI,Home > AI của tôi > AI Flash,Part1 120s,RUNTIME_CONFIG,HIGH,Provider unavailable message,Live provider response when env exists; explicit config error otherwise,Keep honest provider state; no fake success,config/ready/error,Send = repeating END
